Drawing Type	BILL OF MATERIALS	Page 1 of 1				
		Drawing Title	ETS-88,CIB-HP,6DBV,FR-4,TI PROD		DFR(Design For Reliability) Summary	FAIL		
		Drawing Number	6619310					
		Assembly Revision	B					
		ECR Number						
		Engineer						
		Release Person						
		Release Date						
		FLYING PROBE TEST EXIST FOR THIS BOARD REVISION						
ITEM	QTY	MFG	MFG PART#	REF DES	DESCRIPTION	DNI	STATUS	MAX_TEMP
		TESSOLVE TURNKEY						
	REF	SVTRONICS	6619310B		ASSEMBLY			
	REF	-	6619310B		SCHEMATIC			
42	8	PANASONIC	AQY225R3TY	K20_31,K20_32,K33_NC_TMU,K34_NC_TMU,K35_NC_TMU,K36_NC_TMU,K37_NC_TMU,K38_NC_TMU	RELAY, PHOTO MOSFET, 1 FORM A, 100V, VSSOP, SMT-4P		GREEN	85
43	5	VISHAY	TNPW060339K0BEE	R1_ISET_IO,R2_ISET_IO,R3_ISET_IO,R4_ISET_IO,R5_ISET_IO	RESISTOR, THIN FILM, 39K OHM, 0.1%, 0.125W, 25PPM/K, AEC-Q200, SMT0603		GREEN	155
44	5	VISHAY	PNM0402E5001BS	R1_DIN_IO,R2_DIN_IO,R3_DIN_IO,R4_DIN_IO,R5_DIN_IO	RESISTOR, THIN FILM, 5K OHM, 0.1%, 0.05W, 25PPM/C, SMT0402		YELLOW	155
45	2	VISHAY	TNPW060310K0BEEA	R1_TMU,R3_TMU	RESISTOR, THIN FILM, 10K OHM, 0.1%, 0.125W, 25PPM/K, AEC-Q200, SMT0603		GREEN	155
46	1	VISHAY	CRCW2512487RFK	R1_LOAD	RESISTOR, THICK FILM, 487 OHM, 1%, 1.0W, 100PPM/K, SMT2512		GREEN	155
47	5	VISHAY	CRCW060310K0FK	R1_ID,R3_ID,R4_TEMP,R101,R102	RESISTOR, THICK FILM, 10K OHM, 1%, 0.1W, 100PPM/K, SMT0603		GREEN	155
48	0	VISHAY	CRCW060310K0FK	R1_TEMP,R2_ID,R2_TEMP,R3_TEMP,R4_ID,R5_ID,R6_ID	RESISTOR, THICK FILM, 10K OHM, 1%, 0.1W, 100PPM/K, SMT0603	TRUE	GREEN	155
49	1	VISHAY	PCAN0603E2002BST5	R2_LOAD	RESISTOR, PRECISION THIN FILM, 20K OHM, 0.1%, 0.5W, 25PPM/C, SMT0603		YELLOW	155
50	2	PANASONIC	ERA-3AEB202V	R2_TMU,R4_TMU	RESISTOR, THIN FILM, 2K OHM, 0.1%, 0.1W, 25PPM/C, AEC-Q200, SMT0603		GREEN	155
51	1	VISHAY	PHP00805E2492BST1	R3_LOAD	RESISTOR, HIGH POWER THIN FILM, 24.9K OHM, 0.1%, 0.625W, 25PPM/C, SMT0805		YELLOW	155
52	1	PANASONIC	ERJ-PB6B4992V	R4_LOAD	RESISTOR, THICK FILM, 49.9K OHM, 0.1%, 0.25W, 50PPM/C, AEC-Q200, SMT0805		YELLOW	155
53	2	PANASONIC	ERJ-2RKF4991X	R7_TEMP,R12_TEMP	RESISTOR, THICK FILM, 4.99K OHM, 1%, 0.1W, 373.15PPM/K, SMT0402		GREEN	155
54	0	PANASONIC	ERJ-2RKF4991X	R5_TEMP,R6_TEMP,R10_TEMP,R11_TEMP	RESISTOR, THICK FILM, 4.99K OHM, 1%, 0.1W, 373.15PPM/K, SMT0402	TRUE	GREEN	155
55	1	PANASONIC	ERA-6AEB2103V	R5_LOAD	RESISTOR, THIN FILM, 210K OHM, 0.1%, 0.125W, 25PPM/C, AEC-Q200, SMT0805		GREEN	155
56	6	VISHAY	CRCW04021M00FK	R5_1,R5_2,R5_3,R5_4,R5_5,R5_6	RESISTOR, THICK FILM, 1MEG OHM, 1%, 0.063W, 100PPM/K, SMT0402		GREEN	155
57	2	BOURNS	PWR163S-25-1000FE	R6_LOAD,R7_LOAD	RESISTOR, THICK FILM, 100 OHM, 1%, 25W, 100PPM/C, AEC-Q200, DPAK-3		GREEN	155
58	2	VISHAY	CRCW04021M02FK	R8_TMU,R9_TMU	RESISTOR, THICK FILM, 1.02MEG OHM, 1%, 0.063W, 100PPM/K, SMT0402		GREEN	155
59	1	PANASONIC	ERJ-P06D2001V	R8_LOAD	RESISTOR, THICK FILM, 2K OHM, 0.5%, 0.5W, 100PPM/C, AEC-Q200, SMT0805		GREEN	155
60	2	VISHAY	CRCW12060000Z0	R9,R_PWRINTLK	RESISTOR, THICK FILM, 0.00 OHM, JUMPER, 0.25W, SMT1206		GREEN	155
61	0	VISHAY	CRCW12060000Z0	R8,R10,R11	RESISTOR, THICK FILM, 0.00 OHM, JUMPER, 0.25W, SMT1206	TRUE	GREEN	155
62	1	VISHAY	PHP02512E1000BS	R9_LOAD	RESISTOR, HIGH POWER THIN FILM, 100 OHM, 0.1%, 2.5W, 25PPM/C, 2512		YELLOW	155
63	1	BOURNS	CRM2512-FX-10R0ELF	R10_LOAD	RESISTOR, THICK FILM, 10 OHM, 1%, 2W, 100PPM/C, SMT2512		GREEN	155
64	1	VISHAY	CRCW0402102KFK	R10_TMU	RESISTOR, THICK FILM, 102K OHM, 1%, 0.063W, 100PPM/K, SMT0402		GREEN	155
65	1	TT ELECTRONICS	LRC-LR2512LF-01-1R00-F	R11_LOAD	RESISTOR, THICK FILM, 1 OHM, 1%, 2W, 100PPM/C, SMT2512		GREEN	150
66	1	VISHAY	PNM0603E5002BS	R11_TMU	RESISTOR, THIN FILM, 50K OHM, 0.1%, 0.15W, 25PPM/C, SMT0603		YELLOW	155
67	1	VISHAY	TNPW0603100KBEE	R12_TMU	RESISTOR, THIN FILM, 100K OHM, 0.1%, 0.125W, 25PPM/K, AEC-Q200, SMT0603		GREEN	155
68	0	PANASONIC	ERJ-2GE0R00X	R13_TMU,R14_TMU,R15_TMU,R16_TMU,R17_TMU,R18_TMU	RESISTOR, THICK FILM, 0 OHM, JUMPER, 0.1W, -100 TO +600PPM/C, AEC-Q200, SMT0402	TRUE	GREEN	155
69	6	VISHAY	CRCW0603100KFK	R19_TMU,R20_TMU,R21_TMU,R22_TMU,R23_TMU,R24_TMU	RESISTOR, THICK FILM, 100K OHM, 1%, 0.10W, 100PPM/K, SMT0603		GREEN	155
70	6	VISHAY	CRCW04021K20FKE	R33_TMU,R34_TMU,R35_TMU,R36_TMU,R37_TMU,R38_TMU	RESISTOR, THICK FILM, 1.2K OHM, 1%, 0.063W, 100PPM/K, SMT0402		GREEN	155
71	1	PANASONIC	ERJ-3GEY0R00V	R214	RESISTOR, THICK FILM, 0 OHM, JUMPER, 0.1W, AEC-Q200, SMT0603		GREEN	155
72	1	NEWARK IGNORE_REF ONLY	6617060	MH2	TURRET, HYBRID CONTACTOR LOADBOARD KEEPOUT		GREEN	
73	26	KEYSTONE	5015	TP_1S,TP_2S,TP_3S,TP_4S,TP_5S,TP_6S,TP_GND_1,TP_GND_2,TP_GND_3,TP_GND_4,TP_IO_32,TP_IO_CLK,TP_IO_CS,TP_IO_DIN,TP_TMU_3P3V,TP_TMU_CSB1,TP_TMU_CSB2,TP_TMU_DIN,TP_TMU_DOUT,TP_TMU_OSC,TP_TMU_P1,TP_TMU_P2,TP_TMU_SCLK,TP_TMU_ST1,TP_TMU_ST2,TP_TMU_START	TEST POINT, SURFACE MOUNT, MINIATURE, SILVER PLATE		GREEN	200
74	1	TI	01-17797-900	MH2	ASSY,TURRET,HYBRID MOUNTING BLOCK		GREEN	
75	288	TYCO	50935	K1_1UF,K1_DC,K1_LOAD,K3_0P1UF,K3_1,K3_2,K3_3,K3_4,K3_5,K3_6,K4_1,K4_2,K4_3,K4_4,K4_5,K4_6,K5_ZENER,K6_LOAD,K7_1_B0,K7_2_B0,K7_LOAD,K8_LOAD,K9_1,K9_2,K9_3,K9_4,K9_5,K9_6,K9_31,K9_32,K9_LOAD,K10_LOAD,K10_TMU,K11_1,K11_2,K11_3,K11_4,K11_5,K11_6,K11_LOAD,K11_TMU,K12_1,K12_2,K12_3,K12_4,K12_5,K12_6,K15_1,K15_2,K15_3,K15_4,K15_5,K15_6,K18A_1,K18A_2,K18A_3,K18A_4,K18A_5,K18A_6,K18B_1,K18B_2,K18B_3,K18B_4,K18B_5,K18B_6,K18C_1,K18C_2,K18C_3,K18C_4,K18C_5,K18C_6,K_AGND_SYSGND	'SOCKET PIN - INSTALL 1ST,DIA_038, PIN_013-020, EXP_146, B125		GREEN	
76	2	Mcmaster Carr	92949A106	J1	SS Button Head Socket Cap Screw 4-40 Thread, 1/4 Length		GREEN	
77	4	PENN ENGINEERING	SMTPFLSM-M3-1ET 	MH1	PANEL FASTENER, SPRING LOADED, M3 X 0.5, SMD			
								
SPECIAL NOTES AND INSTRUCTIONS:								
ITEM # 77 ADDED MANUALLY								
